company_name,website,category
Spot Pet Insurance,spotpetins.com,pet_insurance
Embrace Pet Insurance,embracepetinsurance.com,pet_insurance
Healthy Paws,healthypawspetinsurance.com,pet_insurance
Trupanion,trupanion.com,pet_insurance
Fetch Pet Insurance,fetchpet.com,pet_insurance
Lemonade Pet,lemonade.com/pet,pet_insurance
ASPCA Pet Insurance,aspcapetinsurance.com,pet_insurance
Nationwide Pet,petinsurance.com,pet_insurance
Pets Best,petsbest.com,pet_insurance
Figo Pet Insurance,figopetinsurance.com,pet_insurance
Pumpkin Pet Insurance,pumpkin.care,pet_insurance
Pawp,pawp.com,pet_insurance
Wagmo,wagmo.io,pet_insurance
Odie Pet Insurance,odiepetinsurance.com,pet_insurance
Bivvy Pet Insurance,bivvy.com,pet_insurance
Paw Protect,pawprotect.com,pet_insurance
PHI Direct,phidirect.com,pet_insurance
24PetWatch,24petwatch.com,pet_insurance
AKC Pet Insurance,akcpetinsurance.com,pet_insurance
Hartville Pet Insurance,hartvillepetinsurance.com,pet_insurance
Prudent Pet,prudentpet.com,pet_insurance
Pet Assure,petassure.com,pet_insurance
Eusoh,eusoh.com,pet_insurance
ManyPets,manypets.com,pet_insurance
Petsure,petsure.com,pet_insurance
Ethos Life,ethos.com,life_insurance
Ladder,ladderlife.com,life_insurance
Bestow,bestow.com,life_insurance
Haven Life,havenlife.com,life_insurance
Fabric,meetfabric.com,life_insurance
Policygenius,policygenius.com,life_insurance
Quotacy,quotacy.com,life_insurance
Sproutt,sproutt.com,life_insurance
Dayforward,dayforward.com,life_insurance
YuLife,yulife.com,life_insurance
Amplify Life,amplifylife.com,life_insurance
Zinnia,zinnia.com,life_insurance
Matic Insurance,matic.com,life_insurance
Wysh Life,wyshlife.com,life_insurance
Root Insurance,root.com,auto_home
Hippo Insurance,hippo.com,auto_home
Kin Insurance,kin.com,auto_home
Branch Insurance,ourbranch.com,auto_home
Jerry,getjerry.com,auto_home
The Zebra,thezebra.com,auto_home
Insurify,insurify.com,auto_home
Gabi,gabi.com,auto_home
Clearcover,clearcover.com,auto_home
Metromile,metromile.com,auto_home
Mile Auto,mileauto.com,auto_home
Openly,openly.com,auto_home
Swyfft,swyfft.com,auto_home
Toggle,toggle.com,auto_home
Sure Insurance,sureapp.com,auto_home
Bamboo Insurance,bambooinsurance.com,auto_home
Neptune Flood,neptuneflood.com,auto_home
Slide Insurance,slideinsurance.com,auto_home
Delos Insurance,delosinsurance.com,auto_home
Rhino,sayrhino.com,auto_home
Jetty,jetty.com,auto_home
Goodcover,goodcover.com,auto_home
Kangaroo,heykangaroo.com,auto_home
Oscar Health,hioscar.com,health_insurance
Clover Health,cloverhealth.com,health_insurance
Bright Health,brighthealthcare.com,health_insurance
Collective Health,collectivehealth.com,health_insurance
Sidecar Health,sidecarhealth.com,health_insurance
Bind Benefits,yourbind.com,health_insurance
Gravie,gravie.com,health_insurance
Stride Health,stridehealth.com,health_insurance
Healthmarkets,healthmarkets.com,health_insurance
eHealth,ehealthinsurance.com,health_insurance
GoHealth,gohealth.com,health_insurance
SelectQuote,selectquote.com,health_insurance
Healthsherpa,healthsherpa.com,health_insurance
Decent,decent.com,health_insurance
Friday Health,fridayhealthplans.com,health_insurance
Alignment Healthcare,alignmenthealthcare.com,health_insurance
Devoted Health,devoted.com,health_insurance
Agilon Health,agilonhealth.com,health_insurance
Coverhound,coverhound.com,comparison
Insureon,insureon.com,comparison
Embroker,embroker.com,comparison
Savvy,savvy.insure,comparison
Insuranks,insuranks.com,comparison
QuoteWizard,quotewizard.com,comparison
ValuePenguin,valuepenguin.com,comparison
NerdWallet Insurance,nerdwallet.com/insurance,comparison
Bankrate Insurance,bankrate.com/insurance,comparison
Insurance.com,insurance.com,comparison
Insure.com,insure.com,comparison
NetQuote,netquote.com,comparison
SmartFinancial,smartfinancial.com,comparison
EverQuote,everquote.com,comparison
MediaAlpha,mediaalpha.com,comparison
Wefox,wefox.com,insurtech
Alan,alan.com,insurtech
Next Insurance,nextinsurance.com,insurtech
Coalition,coalitioninc.com,insurtech
At-Bay,at-bay.com,insurtech
Corvus Insurance,corvusinsurance.com,insurtech
Pie Insurance,pieinsurance.com,insurtech
Vouch,vouch.us,insurtech
Newfront Insurance,newfront.com,insurtech
Cowbell Cyber,cowbell.insure,insurtech
Buckle,buckleup.com,insurtech
Cape Analytics,capeanalytics.com,insurtech
Snapsheet,snapsheet.me,insurtech
Tractable,tractable.ai,insurtech
Shift Technology,shift-technology.com,insurtech
Federato,federato.ai,insurtech
Highwing,highwing.io,insurtech
Relativity6,relativity6.com,insurtech
Socotra,socotra.com,insurtech
EIS Group,eisgroup.com,insurtech
